"sinc" "fair" "anxi" "depe" "live" "forg" "pati" "perf" "inqu" "unco"
"sinc" 0 -0.107352957854552 -0.109540031824247 -0.0834076798926101 -0.0686424819320124 -0.0675755362636355 -0.105676292000651 -0.021198905111207 -0.00929860532712892 -0.0161634582900792
"fair" -0.107352957854552 0 0.0434048265467968 -0.0575731365941423 -0.0175071149170049 -0.0627461510804852 -0.0788936384212713 0.0180689259751707 0.0176303215343116 -0.0392700884170653
"anxi" -0.109540031824247 0.0434048265467968 0 -0.0888184884406771 -0.0385260530267129 -0.0352680623410591 -0.0230202177449346 -0.0652429757176959 0.0253227664357946 0.0157874509687244
"depe" -0.0834076798926101 -0.0575731365941423 -0.0888184884406771 0 -0.00624404426988208 0.0198240163690164 -0.0410542484924211 0.0296152421650215 -0.0258651962616057 -0.0714734986791541
"live" -0.0686424819320124 -0.0175071149170049 -0.0385260530267129 -0.00624404426988208 0 -0.0750966072941725 -0.0327228811635342 0.000989040879116644 -0.0219093542531465 -0.0584060989895991
"forg" -0.0675755362636355 -0.0627461510804852 -0.0352680623410591 0.0198240163690164 -0.0750966072941725 0 -0.0419470090382104 -0.0374744236348321 -0.0399934889818362 -0.00492864038155524
"pati" -0.105676292000651 -0.0788936384212713 -0.0230202177449346 -0.0410542484924211 -0.0327228811635342 -0.0419470090382104 0 -0.0105558679680844 -0.0930024088416274 0.0336870369292711
"perf" -0.021198905111207 0.0180689259751707 -0.0652429757176959 0.0296152421650215 0.000989040879116644 -0.0374744236348321 -0.0105558679680844 0 0.0180392076852076 0.0866864275266217
"inqu" -0.00929860532712892 0.0176303215343116 0.0253227664357946 -0.0258651962616057 -0.0219093542531465 -0.0399934889818362 -0.0930024088416274 0.0180392076852076 0 -0.149670540129226
"unco" -0.0161634582900792 -0.0392700884170653 0.0157874509687244 -0.0714734986791541 -0.0584060989895991 -0.00492864038155524 0.0336870369292711 0.0866864275266217 -0.149670540129226 0
