"a1" "d1" "d2" "d3" "d4" "d5" "d6"
"HSinc1" 0.00099999999999989 0 0.00300000000000011 0.00300000000000011 0.004 0.001 0.00499999999999989
"HSinc2" 0.002 0.002 0.003 0.00399999999999989 0.004 0.00700000000000012 0.00800000000000001
"HSinc3" 0 0.004 0.00600000000000001 0.00699999999999998 0.00700000000000001 0.00599999999999978 0.00699999999999967
"HSinc4" 0.00399999999999978 0.00900000000000034 0.01 0.00700000000000001 0.004 0.00199999999999978 0.00700000000000056
"HSinc5" 0.001 0.00300000000000011 0.001 0.003 0.003 0.004 0.004
"HSinc6" 0.00200000000000022 0.012 0.00800000000000001 0.008 0.00600000000000001 0.004 0.00900000000000034
"HSinc7" 0 0.00299999999999989 0.003 0.005 0.00499999999999989 0.00300000000000011 0.00200000000000022
"HSinc8" 0.002 0.00199999999999978 0.00199999999999978 0 0.004 0.003 0.00600000000000001
"HSinc9" 0.002 0.004 0.00299999999999989 0.002 0.002 0.002 0.00700000000000012
"HSinc10" 0.001 0.00100000000000011 0.001 0.00199999999999995 0.003 0.002 0.004
"HFair1" 0.00500000000000034 0.0110000000000001 0.00700000000000012 0.00600000000000001 0.00600000000000001 0.00499999999999995 0
"HFair2" 0.00100000000000011 0.00599999999999978 0.00200000000000022 0.00300000000000011 0.005 0.003 0.00299999999999989
"HFair3" 0 0.00100000000000033 0.00299999999999989 0.00300000000000011 0.002 0.00199999999999995 0.00299999999999989
"HFair4" 0 0.00300000000000011 0.00099999999999989 0.004 0.004 0.00600000000000001 0.00700000000000012
"HFair5" 0.001 0.00600000000000023 0.00099999999999989 0.00099999999999989 0 0.001 0.00100000000000033
"HFair6" 0.002 0 0.002 0.002 0.002 0.003 0.00200000000000022
"HFair7" 0.004 0.002 0.004 0.00499999999999989 0.00699999999999967 0.00599999999999978 0.0119999999999996
"HFair8" 0.00099999999999989 0.002 0.004 0.00499999999999989 0.00700000000000012 0.00999999999999979 0.00899999999999945
"HFair9" 0.00099999999999989 0.004 0.00300000000000011 0.00099999999999989 0.00499999999999989 0.00800000000000001 0.0129999999999999
"HFair10" 0 0.004 0.003 0.004 0.00500000000000012 0.00499999999999989 0.00100000000000033
"EAnxi1" 0.00299999999999989 0.00399999999999956 0.00200000000000022 0.00099999999999989 0.00100000000000011 0.00299999999999997 0.002
"EAnxi2" 0.00199999999999978 0.00199999999999978 0.00800000000000001 0.004 0.00299999999999967 0.003 0.00499999999999989
"EAnxi3" 0.00200000000000022 0.00800000000000001 0.00599999999999978 0.00499999999999989 0.004 0.005 0.00500000000000034
"EAnxi4" 0 0.00300000000000011 0 0.002 0.00299999999999989 0.001 0.004
"EAnxi5" 0.002 0.00100000000000033 0.00099999999999989 0.001 0 0.00099999999999989 0.00099999999999989
"EAnxi6" 0.004 0 0.00600000000000001 0.00800000000000001 0.0109999999999997 0.0130000000000008 0.0140000000000002
"EAnxi7" 0.002 0.00599999999999978 0.005 0.001 0.00100000000000011 0.00099999999999989 0
"EAnxi8" 0.001 0.00099999999999989 0 0 0.001 0.00099999999999989 0
"EAnxi9" 0.002 0.00099999999999989 0.00099999999999989 0.003 0.001 0.00099999999999989 0.00099999999999989
"EAnxi10" 0 0.00099999999999989 0 0.001 0.001 0.00300000000000011 0.00600000000000023
"EDepe1" 0 0.00499999999999989 0.00300000000000011 0.00200000000000022 0.00099999999999989 0.003 0.004
"EDepe2" 0.00100000000000011 0.00199999999999978 0.002 0.002 0.001 0.002 0.00100000000000033
"EDepe3" 0.002 0.00199999999999978 0.00099999999999989 0.002 0.002 0.00299999999999989 0.00300000000000011
"EDepe4" 0.00099999999999989 0 0.00100000000000011 0.002 0.003 0.00300000000000011 0.00300000000000011
"EDepe5" 0.00300000000000011 0.00100000000000033 0.004 0.005 0.003 0.00099999999999989 0.00099999999999989
"EDepe6" 0.001 0.00300000000000011 0.002 0.002 0 0.002 0.00200000000000022
"EDepe7" 0.001 0 0.00099999999999989 0.002 0.002 0.001 0
"EDepe8" 0.002 0.00999999999999979 0.00299999999999967 0.004 0.003 0.002 0
"EDepe9" 0 0.00199999999999978 0.003 0.002 0.002 0.00099999999999989 0.00299999999999967
"EDepe10" 0 0.00100000000000033 0.00100000000000033 0.00099999999999989 0.00100000000000033 0.001 0.00100000000000011
"XLive1" 0 0.00699999999999967 0.00099999999999989 0.002 0.002 0.00099999999999989 0.00299999999999923
"XLive2" 0.00100000000000011 0 0.002 0.003 0.001 0.00099999999999989 0
"XLive3" 0.00499999999999989 0 0.004 0.002 0.00299999999999989 0.00299999999999967 0.00800000000000001
"XLive4" 0.002 0.00300000000000011 0.00099999999999989 0.002 0 0.001 0.00100000000000011
"XLive5" 0.00199999999999978 0.00600000000000023 0.00099999999999989 0.002 0.001 0.00499999999999989 0.00600000000000023
"XLive6" 0.001 0.00499999999999989 0.00100000000000033 0.00299999999999989 0 0 0.00299999999999989
"XLive7" 0.003 0.00199999999999978 0.00199999999999978 0.002 0 0.001 0.004
"XLive8" 0 0.00100000000000033 0.00099999999999989 0 0.002 0.001 0
"XLive9" 0 0.004 0.00099999999999989 0.002 0.001 0 0.004
"XLive10" 0.002 0.00199999999999978 0 0.001 0 0.002 0
"AForg1" 0 0.002 0.001 0.002 0.002 0 0.00199999999999978
"AForg2" 0.00800000000000001 0.0199999999999996 0.012 0.0100000000000002 0.0089999999999999 0 0.00300000000000011
"AForg3" 0.00299999999999967 0.0129999999999999 0.00300000000000011 0.00300000000000011 0.002 0.00499999999999995 0.00499999999999989
"AForg4" 0.002 0.00499999999999989 0.002 0.001 0.001 0 0.00100000000000033
"AForg5" 0.00200000000000022 0 0.00099999999999989 0.005 0.00600000000000001 0.004 0.00399999999999956
"AForg6" 0 0 0 0.002 0.004 0.00499999999999989 0.00300000000000011
"AForg7" 0.002 0.00200000000000022 0 0.002 0.004 0.00100000000000011 0.004
"AForg8" 0.002 0 0 0.001 0.003 0.00499999999999989 0.004
"AForg9" 0.00099999999999989 0.004 0.00100000000000011 0.00300000000000011 0.001 0 0.00099999999999989
"AForg10" 0.00100000000000011 0 0.00099999999999989 0 0 0.00099999999999989 0.004
"APati1" 0.00300000000000011 0.00300000000000011 0.00300000000000011 0.004 0.003 0.004 0.00200000000000022
"APati2" 0.00199999999999978 0.00300000000000011 0.00100000000000011 0.001 0.001 0.00299999999999967 0.00300000000000011
"APati3" 0.00100000000000011 0.00499999999999989 0.00200000000000022 0.002 0 0.004 0.00099999999999989
"APati4" 0.00499999999999989 0.00300000000000011 0.001 0.002 0.00299999999999989 0.00600000000000023 0.00199999999999978
"APati5" 0.0089999999999999 0.00100000000000033 0.00100000000000033 0.001 0.003 0.0069999999999999 0.00700000000000012
"APati6" 0.00499999999999989 0 0.00099999999999989 0 0.001 0.00099999999999989 0.00199999999999978
"APati7" 0.00800000000000001 0.00400000000000045 0.00600000000000001 0.00199999999999999 0.002 0.004 0.00300000000000011
"APati8" 0.00499999999999989 0.00400000000000045 0.00299999999999967 0.00499999999999989 0.004 0.00300000000000011 0.00299999999999923
"APati9" 0.00099999999999989 0.00200000000000022 0 0.005 0.002 0.00099999999999989 0.00200000000000067
"APati10" 0.00300000000000011 0.004 0.002 0 0 0.00300000000000011 0.00099999999999989
"CPerf1" 0.0110000000000001 0.0189999999999984 0.0190000000000001 0.00600000000000023 0.00800000000000001 0.003 0.00699999999999967
"CPerf2" 0.00099999999999989 0.00199999999999978 0.00300000000000011 0.002 0.004 0 0.00199999999999978
"CPerf3" 0.00499999999999989 0.00200000000000067 0.00699999999999967 0.00500000000000034 0.00099999999999989 0.00199999999999997 0.00300000000000011
"CPerf4" 0.004 0.00399999999999956 0.00200000000000022 0.00099999999999989 0 0 0.00299999999999967
"CPerf5" 0.002 0.00100000000000033 0.00199999999999978 0.002 0.001 0.002 0.00100000000000033
"CPerf6" 0.00099999999999989 0.00199999999999978 0.00199999999999978 0.00099999999999989 0.001 0.001 0.00499999999999989
"CPerf7" 0.00100000000000011 0.00900000000000034 0 0.00099999999999989 0 0 0.00300000000000011
"CPerf8" 0.002 0.00300000000000011 0 0.00100000000000011 0 0.002 0.00200000000000022
"CPerf9" 0 0.00299999999999967 0.001 0.00300000000000011 0.00100000000000011 0.004 0.00599999999999934
"CPerf10" 0.003 0.00199999999999978 0.00100000000000011 0.001 0.003 0.005 0.00600000000000023
"OInqu1" 0.00099999999999989 0.00100000000000033 0.004 0.00099999999999989 0.00099999999999989 0.002 0.003
"OInqu2" 0 0.00100000000000033 0.00200000000000022 0.00600000000000023 0.00300000000000011 0.002 0.001
"OInqu3" 0.00100000000000011 0.0129999999999999 0.0100000000000002 0.00700000000000012 0.00499999999999989 0.003 0.00299999999999989
"OInqu4" 0.00299999999999967 0.00400000000000045 0.00999999999999979 0.00800000000000001 0.00700000000000012 0.00600000000000001 0.004
"OInqu5" 0.002 0.00299999999999989 0.00300000000000011 0.004 0.00399999999999999 0.004 0.00599999999999978
"OInqu6" 0.004 0.0129999999999999 0.012 0.00700000000000012 0.00600000000000001 0.004 0
"OInqu7" 0.001 0.00099999999999989 0.00299999999999995 0.002 0.002 0.00100000000000011 0
"OInqu8" 0.00600000000000023 0.00300000000000011 0.01 0.00600000000000023 0.0110000000000001 0.0110000000000001 0.00800000000000001
"OInqu9" 0.001 0.002 0.001 0 0.001 0 0.00200000000000022
"OInqu10" 0.001 0.00199999999999978 0.004 0.00499999999999989 0.00199999999999978 0.00500000000000034 0.0170000000000003
"OUnco1" 0.00100000000000011 0.00100000000000033 0.004 0.00300000000000011 0.00099999999999989 0.002 0.002
"OUnco2" 0 0.00100000000000033 0.00099999999999989 0.00300000000000011 0.00299999999999989 0.001 0.00100000000000011
"OUnco3" 0 0 0.00600000000000023 0.004 0.00300000000000011 0.001 0
"OUnco4" 0.002 0.004 0.00299999999999989 0.001 0.001 0.00099999999999989 0
"OUnco5" 0.00100000000000011 0.00199999999999978 0 0.00100000000000011 0 0.003 0.00200000000000022
"OUnco6" 0.002 0.004 0.004 0.004 0.00699999999999967 0.0109999999999997 0.00700000000000056
"OUnco7" 0.00200000000000022 0.00299999999999967 0.00399999999999999 0.002 0.00700000000000012 0.00399999999999956 0.00700000000000056
"OUnco8" 0.00300000000000011 0.00300000000000011 0.001 0 0.002 0 0.00099999999999989
"OUnco9" 0.00500000000000034 0 0.004 0.004 0.0109999999999997 0.0110000000000001 0.0150000000000006
"OUnco10" 0.003 0 0.002 0.002 0.00299999999999967 0.00200000000000022 0.00199999999999978
