"HSinc" "HFair" "EAnxi" "EDepe" "XLive" "AForg" "APati" "CPerf" "OInqu" "OUnco"
"HSinc" 1 0.420101308476219 -0.179150734471436 -0.252349363101194 0.124222036216561 0.228316210733544 0.199182594843879 -0.0432189919017379 0.0523300231805945 0.0339685323780134
"HFair" 0.420101308476219 1 0.112295730382414 0.164176656615625 0.0740115584580788 0.402457287421806 0.206111655751755 0.0722955558494616 0.0295151519317276 -0.217025929949603
"EAnxi" -0.179150734471436 0.112295730382414 1 0.551291636841468 -0.461119113543523 -0.177998250707723 -0.474119187807838 0.0823990777859236 -0.125745306009178 -0.0927096863791056
"EDepe" -0.252349363101194 0.164176656615625 0.551291636841468 1 -0.102681767265155 0.105523392371855 -0.209362436783661 -0.022612846495266 -0.183188711356811 -0.213485706370004
"XLive" 0.124222036216561 0.0740115584580788 -0.461119113543523 -0.102681767265155 1 0.262914240323346 0.282985907859645 0.0551354566426585 0.127240166301258 0.103233578553569
"AForg" 0.228316210733544 0.402457287421806 -0.177998250707723 0.105523392371855 0.262914240323346 1 0.5334300758891 -0.164303461653548 0.0547973840267652 -0.0849912964276452
"APati" 0.199182594843879 0.206111655751755 -0.474119187807838 -0.209362436783661 0.282985907859645 0.5334300758891 1 -0.096634908780372 0.0946689817082522 -0.0347535843339323
"CPerf" -0.0432189919017379 0.0722955558494616 0.0823990777859236 -0.022612846495266 0.0551354566426585 -0.164303461653548 -0.096634908780372 1 0.250020050628527 0.0255817554679215
"OInqu" 0.0523300231805945 0.0295151519317276 -0.125745306009178 -0.183188711356811 0.127240166301258 0.0547973840267652 0.0946689817082522 0.250020050628527 1 0.364394076321093
"OUnco" 0.0339685323780134 -0.217025929949603 -0.0927096863791056 -0.213485706370004 0.103233578553569 -0.0849912964276452 -0.0347535843339323 0.0255817554679215 0.364394076321093 1
