"a1" "d1" "d2" "d3" "d4" "d5" "d6"
"HSinc1" -1.158 3.975 2.4 1.021 0.296 -0.591 -2.217
"HSinc2" 1.437 1.959 0.367 -0.685 -1.411 -2.822 -4.323
"HSinc3" 1.568 2.951 1.223 0.176 -0.578 -2.083 -3.696
"HSinc4" 2.002 2.97 1.044 -0.253 -1.102 -2.894 -4.796
"HSinc5" 0.854 1.718 0.376 -0.329 -0.983 -1.928 -3.203
"HSinc6" 2.516 3.41 1.232 -0.058 -1.042 -3.068 -5.167
"HSinc7" 0.853 1.267 0.014 -0.671 -1.189 -2.266 -3.668
"HSinc8" 1.06 3.613 2.324 1.639 1.082 -0.208 -1.726
"HSinc9" 0.978 2.401 1.005 0.085 -0.648 -1.932 -3.522
"HSinc10" 0.475 1.303 0.298 -0.342 -0.84 -1.884 -3.112
"HFair1" 2.82 5.681 3.698 1.702 0.755 -0.347 -2.628
"HFair2" 1.147 3.503 2.553 1.736 0.862 0.254 -1.087
"HFair3" 1.009 2.824 1.868 1.2 0.403 -0.283 -1.587
"HFair4" 2.474 4.81 3.313 2.199 1.542 0.518 -1.171
"HFair5" 0.871 4.061 2.831 1.919 1.096 -0.259 -2.219
"HFair6" -0.945 2.291 1.347 0.827 0.276 -0.744 -2.002
"HFair7" -1.863 1.26 -0.474 -1.516 -2.289 -3.899 -5.336
"HFair8" -2.49 0.502 -1.213 -2.028 -2.796 -4.665 -6.312
"HFair9" -1.198 0.019 -1.523 -2.384 -2.938 -4.064 -5.297
"HFair10" -1.175 0.92 -0.419 -1.237 -1.801 -2.623 -3.679
"EAnxi1" 1.799 4.724 3.097 2.289 1.72 0.236 -1.694
"EAnxi2" 2.908 7.159 4.928 3.645 2.865 0.453 -2.327
"EAnxi3" 2.418 5.046 3.119 1.931 1.163 -0.635 -2.591
"EAnxi4" 1.279 3.826 2.467 1.707 1.175 -0.12 -1.801
"EAnxi5" 1.819 3.252 1.366 0.12 -0.616 -2.073 -3.573
"EAnxi6" -2.666 1.78 -0.733 -2.511 -3.241 -4.483 -6.302
"EAnxi7" -1.224 1.628 0.197 -0.873 -1.418 -2.103 -3.359
"EAnxi8" -0.85 3.441 1.886 0.722 0.056 -1.001 -2.574
"EAnxi9" -1.291 3.717 2.014 0.761 0.056 -1.226 -2.944
"EAnxi10" -1.299 2.037 0.461 -0.607 -0.983 -1.839 -3.198
"EDepe1" 2.073 5.14 3.589 2.681 1.72 -0.24 -2.329
"EDepe2" 1.22 3.237 1.774 0.827 0.053 -1.627 -3.523
"EDepe3" 1.842 4.105 2.484 1.613 0.782 -1.003 -3.342
"EDepe4" 1.392 2.722 1.208 0.137 -0.698 -2.142 -3.649
"EDepe5" 1.462 3.409 1.541 0.39 -0.444 -2.052 -3.861
"EDepe6" 0.818 2.162 0.789 -0.031 -0.559 -1.696 -3.217
"EDepe7" 0.768 2.642 1.502 0.836 0.392 -0.507 -1.842
"EDepe8" 1.781 4.391 2.615 1.463 0.654 -1.154 -3.186
"EDepe9" 0.941 2.132 0.74 -0.13 -0.735 -1.878 -3.219
"EDepe10" 1.464 5.362 4.142 3.341 2.139 0.51 -1.252
"XLive1" 2.449 3.434 1.049 -0.557 -1.686 -3.183 -5.193
"XLive2" 1.38 2.663 1.052 -0.003 -0.938 -2.083 -3.556
