"1" "2" "3" "4" "5" "6" "7"
"HSinc1" 335 902 1861 1384 1789 2496 1449
"HSinc2" 1919 2527 1989 1198 1548 713 322
"HSinc3" 1036 1907 1780 1377 2253 1256 607
"HSinc4" 1321 2160 2018 1314 2044 970 389
"HSinc5" 1835 2444 1578 1346 1457 1022 534
"HSinc6" 1328 2112 1718 1335 2149 1089 485
"HSinc7" 2531 2544 1494 998 1460 842 347
"HSinc8" 416 788 784 869 2585 2777 1997
"HSinc9" 1139 1908 1892 1568 2105 1175 429
"HSinc10" 2286 2107 1553 1121 1720 953 476
"HFair1" 463 900 1830 1097 1317 2451 2158
"HFair2" 511 617 930 1432 1175 2562 2989
"HFair3" 823 911 990 1529 1468 2386 2109
"HFair4" 597 819 986 728 1305 2254 3527
"HFair5" 247 504 828 1243 2861 3284 1249
"HFair6" 1199 1179 914 1132 2187 2042 1563
"HFair7" 3131 2763 1569 924 1179 426 224
"HFair8" 4444 2305 940 744 1145 418 220
"HFair9" 5102 2840 1031 436 497 209 101
"HFair10" 3326 2634 1496 831 864 616 449
"HGree1" 673 1038 1389 1351 1323 1909 2533
"HGree2" 684 1321 1825 1139 1619 2213 1415
"HGree3" 533 1132 1252 1913 2508 1640 1238
"HGree4" 1652 2373 1838 1313 1622 811 607
"HGree5" 1249 1981 1622 1573 2056 1135 600
"HGree6" 1865 2872 2039 1420 1287 475 258
"HGree7" 650 1058 1130 1490 1876 1772 2240
"HGree8" 333 767 1058 1211 3363 2430 1054
"HGree9" 1998 2524 1603 1791 1063 795 442
"HGree10" 763 1608 1793 1940 2317 1271 524
"HMode1" 530 984 1862 1221 1258 2382 1979
"HMode2" 1134 1615 1875 1019 1588 1666 1319
"HMode3" 1633 1887 2018 1482 1317 1167 712
"HMode4" 1176 1640 1983 1157 1609 1673 978
"HMode5" 646 1341 1304 1573 2250 1733 1369
"HMode6" 1694 2083 1590 1362 2179 832 476
"HMode7" 1386 1958 1730 1425 2105 1092 520
"HMode8" 308 758 1368 2302 2648 1994 838
"HMode9" 754 1489 1466 1267 2787 1720 733
"HMode10" 1627 2474 1990 1634 1651 594 246
"EFear1" 1142 1743 1725 1329 1859 1442 976
"EFear2" 932 1839 2199 1303 2145 1250 548
"EFear3" 500 882 1167 849 2100 2568 2150
"EFear4" 842 1721 1951 1459 2096 1462 685
"EFear5" 1631 2016 1845 1060 941 1191 1532
"EFear6" 1197 1923 1786 1361 1999 1303 647
"EFear7" 886 1772 1892 1499 2168 1406 593
"EFear8" 1444 2335 1522 1225 2338 1005 347
"EFear9" 1830 2179 1692 1482 1466 1039 528
"EFear10" 258 801 1383 1280 3220 2218 1056
"EAnxi1" 342 739 692 653 2258 3037 2495
"EAnxi2" 210 529 636 561 2579 3231 2470
"EAnxi3" 487 1010 1126 930 2476 2267 1920
"EAnxi4" 425 837 872 809 2433 2842 1998
"EAnxi5" 1020 2031 2001 1210 1973 1182 799
"EAnxi6" 2890 3155 2010 608 730 547 276
"EAnxi7" 2200 2496 2090 917 910 996 607
"EAnxi8" 423 1158 1897 1428 2250 2114 946
"EAnxi9" 467 1217 1844 1341 2416 2024 907
"EAnxi10" 1702 2390 2045 689 1341 1301 748
"EDepe1" 329 589 641 1002 2856 2836 1963
